        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e-02,        -8.901900000000e+01,        +0.000000000000e+01,        -0.000000000000e-03,        -0.000000000000e+00
 5.00000000e-02,        -8.207900000000e+01,        +0.000000000000e+01,        -1.000000000000e-03,        -0.000000000000e+00
 1.00000000e-01,        -7.910700000000e+01,        +0.000000000000e+01,        -1.000000000000e-03,        -0.000000000000e+00
 2.00000000e-01,        -7.615000000000e+01,        +0.000000000000e+01,        -1.000000000000e-03,        -0.000000000000e+00
 3.00000000e-01,        -7.443100000000e+01,        +0.000000000000e+01,        -2.000000000000e-03,        -0.000000000000e+00
 4.00000000e-01,        -7.321700000000e+01,        +0.000000000000e+01,        -2.000000000000e-03,        -0.000000000000e+00
 5.00000000e-01,        -7.227900000000e+01,        +0.000000000000e+01,        -2.000000000000e-03,        -0.000000000000e+00
 1.00000000e+00,        -6.939200000000e+01,        +0.000000000000e+01,        -3.000000000000e-03,        -0.000000000000e+00
 1.50000000e+00,        -6.772800000000e+01,        +0.000000000000e+01,        -4.000000000000e-03,        -0.000000000000e+00
 2.00000000e+00,        -6.656200000000e+01,        +0.000000000000e+01,        -5.000000000000e-03,        -0.000000000000e+00
 2.50000000e+00,        -6.566700000000e+01,        +0.000000000000e+01,        -5.000000000000e-03,        -0.000000000000e+00
 3.00000000e+00,        -6.494400000000e+01,        +0.000000000000e+01,        -6.000000000000e-03,        -0.000000000000e+00
