        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -6.939200000000e+01,        +0.000000000000e+01,        -3.000000000000e-03,        -0.000000000000e+00
 2.00000000e+00,        -6.656200000000e+01,        +0.000000000000e+01,        -5.000000000000e-03,        -2.890000000000e+00
 3.00000000e+00,        -6.494400000000e+01,        +0.000000000000e+01,        -6.000000000000e-03,        -0.000000000000e+00
 4.00000000e+00,        -6.381900000000e+01,        +0.000000000000e+01,        -7.000000000000e-03,        -0.000000000000e+00
 5.00000000e+00,        -6.296400000000e+01,        +0.000000000000e+01,        -8.000000000000e-03,        -0.000000000000e+00
 6.00000000e+00,        -6.227900000000e+01,        +0.000000000000e+01,        -8.000000000000e-03,        -0.000000000000e+00
 7.00000000e+00,        -6.171100000000e+01,        +0.000000000000e+01,        -9.000000000000e-03,        -0.000000000000e+01
 8.00000000e+00,        -6.122900000000e+01,        +0.000000000000e+01,        -1.000000000000e-02,        -0.000000000000e+01
 9.00000000e+00,        -6.081400000000e+01,        +0.000000000000e+01,        -1.100000000000e-02,        -0.000000000000e+01
 1.00000000e+01,        -6.045000000000e+01,        +0.000000000000e+01,        -1.100000000000e-02,        -0.000000000000e+01
 1.10000000e+01,        -6.012900000000e+01,        +0.000000000000e+01,        -1.200000000000e-02,        -0.000000000000e+01
 1.20000000e+01,        -5.984300000000e+01,        +0.000000000000e+01,        -1.200000000000e-02,        -0.000000000000e+01
 1.30000000e+01,        -5.958600000000e+01,        +0.000000000000e+01,        -1.300000000000e-02,        -0.000000000000e+01
 1.40000000e+01,        -5.935600000000e+01,        +0.000000000000e+01,        -1.400000000000e-02,        -0.000000000000e+01
 1.50000000e+01,        -5.914700000000e+01,        +0.000000000000e+01,        -1.400000000000e-02,        -0.000000000000e+01
